feature,importance_mean,importance_std,rank
prior_down_context,0.13363519268425786,0.016024666982457452,1
atr_pct,0.025577119300268826,0.0030372126743481325,2
slope_pct_20,0.012684915033512429,0.0029555838880874646,3
lower_wick_to_range,0.004638171988774151,0.004096741322930121,4
realized_vol_10,0.0024935111780978124,0.0017265560364018097,5
volume_ratio_20,0.0020609615116837622,0.0009064035030768673,6
log_return_sum_3,0.001575997363855841,0.00030818598647258915,7
slope_pct_50,0.0014858828809263592,0.005560314138981828,8
slope_pct_80,0.0013865801933271471,0.0020488422199013024,9
stoch_d_3,0.0012476168477219217,0.0005893945974789409,10
atr_pct_change_5,0.0010840943010925641,0.0020096758071806377,11
log_return_1,0.0009561346810416704,0.0003489016548034352,12
realized_vol_5,0.000612762620750773,0.00021028624265913236,13
log_return_sum_2,0.0004361798537776629,0.0009183990593017541,14
volume_z_20,0.0004050209217186129,0.00043093930424831976,15
body_pct,0.0003199374606289773,0.00034814038200778124,16
realized_vol_3,0.0002908731494475791,0.00020164327813104277,17
log_volume,0.0002619626421587029,0.0008172141116767959,18
realized_vol_2,0.00023910796246772725,0.00018109526083976782,19
macd_hist,0.00021273371178036072,0.00022388739178208473,20
log_return_sum_10,0.00011061792071256348,0.00020008865609661707,21
bollinger_z_80,8.895743938669431e-05,0.0007407400604350014,22
dist_to_low_atr_20,7.181714435585684e-05,0.0004924159894028274,23
upper_wick_to_range,4.2203236114873864e-05,0.0001448620191132158,24
gap_pct,0.0,0.0,25
green_streak,0.0,0.0,26
body_to_range,0.0,0.0,27
log_return_sum_5,-4.7562774264264807e-05,0.00014574736058261054,28
range_pct_20,-0.0001514005514833716,0.0011412826171856248,29
rebound_from_low_20,-0.0002027230099717503,0.0009462408526534352,30
stoch_k_14,-0.00034299493427854543,0.0017357307924643901,31
rebound_from_low_50,-0.000681835474118786,0.00032797101758691503,32
drawdown_from_high_20,-0.0008379083569208356,0.0003877387393173536,33
dist_to_high_atr_20,-0.0009873880804115221,0.0007844813460209506,34
close_position_in_range,-0.0010722391548379784,0.0006347374701501516,35
atr,-0.0011182302719923265,0.001760898873584302,36
drawdown_from_high_50,-0.0011437684740393528,0.0036256876617712388,37
log_return_sum_20,-0.0013142569510239289,0.00023406634618298067,38
dist_to_high_atr_80,-0.0013301838012633516,0.0016161543043698204,39
dist_to_low_atr_80,-0.0014989229050824226,0.0007404961254745096,40
rsi_7,-0.001646248098355435,0.004014544831716888,41
drawdown_from_high_80,-0.002494291415200334,0.0007298311982333009,42
dist_to_low_atr_50,-0.00252351839480463,0.0018683789701892653,43
rebound_from_low_80,-0.0034988765080515294,0.002491018447041606,44
obv_slope_20,-0.005423936241938715,0.00215869138449866,45
rsi_14,-0.006909070603843492,0.0035414815753373875,46
bollinger_z_20,-0.007125975531915701,0.0018109467124439213,47
range_pct_50,-0.007195083540985731,0.009919466536642373,48
macd_signal,-0.007786194152553344,0.009137721395611993,49
dist_to_high_atr_50,-0.01218511190890006,0.008570812876445635,50
macd_line,-0.014272716930115234,0.010773791263137268,51
bollinger_z_50,-0.016781911131083616,0.014976329136852654,52
realized_vol_20,-0.028929648060973118,0.01853618227990688,53
range_pct_80,-0.09178584697654976,0.017528752187332776,54
