feature,importance_mean,importance_std,rank
range_pct_80,0.031103830533524945,0.007090220373116127,1
log_return_sum_80,0.015866946192890308,0.0007330831661401833,2
volatility_compression_20_80,0.015317675118820873,0.0006762429245815034,3
drawdown_from_high_80,0.009897928247636223,0.0029207950225479365,4
log_return_sum_40,0.009018393818077008,0.0019684271026531542,5
realized_vol_20,0.00731290796899704,0.0026132589326870997,6
range_pct_50,0.007041047387408605,0.0010454804902060829,7
slope_pct_50,0.006936088910421456,0.0019457081363368656,8
slope_pct_80,0.005917504998538226,0.0011303521768895484,9
atr_pct,0.00384940756031813,0.001469810470006289,10
rebound_from_low_50,0.002914024910962554,0.0002562591234664876,11
realized_vol_40,0.001951880539434203,0.000217461885861888,12
drawdown_from_high_50,0.0019492954135575946,0.0003580739618399309,13
dist_to_low_atr_80,0.0018609323197672945,0.00017313317973187647,14
dist_to_high_atr_50,0.0015420897272691691,0.002645545213246784,15
hmm_state_prob_1,0.0014771798478685704,0.0018864805731297726,16
macd_signal,0.0012174460497196503,0.00031304791579084734,17
atr,0.0008963509235773825,0.000161503689820265,18
rebound_from_low_20,0.000791284339503151,0.00023751161755010508,19
bollinger_z_80,0.0007085698210773205,0.0007954613539171876,20
dist_to_high_atr_20,0.0006140562333237787,0.0001265048739024184,21
range_compression_20_80,0.0005106522350215136,7.407093891783809e-05,22
log_return_sum_20,0.00046657648833416945,0.0009999313251489981,23
down_volume_share_20,0.00044447990146498915,0.0002653577643356744,24
up_volume_share_20,0.00040221614218907133,0.00014399226984260024,25
dist_to_low_atr_20,0.0003677609007146643,6.705558233536332e-05,26
realized_vol_5,0.0003332042182175421,0.0004798137532085311,27
break_above_prior_high_atr_21,0.0002887948971447285,3.9538594950281545e-05,28
obv_slope_20,0.00026272110457381537,8.313622660195665e-05,29
range_pct_20,0.0002397854006523925,7.964642698630747e-05,30
low_range_position_21,0.00014854925134781815,5.952867094803753e-05,31
reclaim_from_low_atr_13,0.00010816210075799137,2.8774044527611462e-05,32
log_volume,7.050864086524111e-05,4.012202664032814e-05,33
reclaim_from_low_atr_21,4.964843735280056e-05,2.680513476247322e-05,34
short_turn_score_13,4.59517755976524e-05,8.102615463626113e-06,35
bollinger_z_50,4.0121158212147455e-05,6.0894114371909875e-05,36
stoch_d_3,3.722000964592187e-05,3.642532560943079e-05,37
hmm_state_prob_0,2.324488905125488e-05,2.4203534845352674e-05,38
rsi_7,2.2658894401272888e-05,7.709459687228046e-06,39
short_turn_score_5,1.9006892148953902e-05,7.969819131632767e-06,40
macd_line,1.8533096341966093e-05,0.00017966412584391762,41
volume_z_20,1.6509012227095e-05,1.9055645511748976e-05,42
gap_pct,1.5260322699250926e-05,1.2538969631439452e-05,43
bollinger_z_20,1.4305200581010702e-05,2.2387903730711923e-05,44
low_range_position_5,1.3555014500132857e-05,3.2333953822731997e-06,45
body_pct,7.911802238202981e-06,2.0290190870682394e-06,46
log_return_sum_5,7.418873120790259e-06,5.095108580009909e-06,47
short_turn_score_8,6.811252007810076e-06,3.209556122762557e-06,48
atr_pct_change_5,6.040733288559253e-06,6.318784061830826e-05,49
volume_ratio_20,5.2193476018036474e-06,1.4102145389835082e-05,50
reclaim_from_low_atr_8,5.1836455665643655e-06,9.195984942801402e-06,51
dist_to_low_atr_50,3.814274327851308e-06,5.187202790610176e-05,52
log_return_1,3.2318249465923545e-06,2.424597189073718e-06,53
break_above_prior_high_atr_8,1.8324394775559583e-06,2.0138957616720295e-05,54
rsi_14,1.4860064408095398e-06,5.259343279288707e-06,55
low_range_position_8,0.0,0.0,56
body_to_range,0.0,0.0,57
prior_down_context,0.0,0.0,58
green_streak,0.0,0.0,59
close_position_in_range,0.0,0.0,60
lower_wick_to_range,0.0,0.0,61
upper_wick_to_range,0.0,0.0,62
reclaim_from_low_atr_5,0.0,0.0,63
low_range_position_13,0.0,0.0,64
drawdown_from_high_20,-2.760232229759296e-06,4.752526126747231e-05,65
log_return_sum_2,-3.1510148610802703e-06,2.233346409103921e-06,66
log_return_sum_3,-6.403719058023505e-06,9.828848433832635e-06,67
stoch_k_14,-6.586657811458174e-06,1.4837346334480977e-05,68
short_turn_score_21,-1.883100204311816e-05,2.8062877352015806e-05,69
break_above_prior_high_atr_13,-2.805751605368112e-05,3.43135220002219e-05,70
realized_vol_2,-4.7772250766175975e-05,1.3242414972047518e-05,71
break_above_prior_high_atr_5,-5.507310651571284e-05,3.867191988293295e-05,72
volatility_expansion_5_20,-9.251103933438642e-05,1.649512566043157e-05,73
volume_expansion_5_20,-0.00011518147392930445,3.8868609611973526e-05,74
hmm_state_prob_2,-0.00011719301471584398,3.7706151048556734e-05,75
realized_vol_3,-0.00011840249167567318,6.37812434677618e-05,76
macd_hist,-0.00035312979649544386,8.193863104160452e-05,77
realized_vol_80,-0.0003536433775357617,0.0055514181425235605,78
hmm_state,-0.0005274995861931809,0.00013054380516418324,79
log_return_sum_10,-0.000704539933527526,0.00021107958276115506,80
slope_pct_20,-0.0011452462426950083,0.0022171944183206702,81
realized_vol_10,-0.0020715728249528498,0.0004468054307157899,82
hmm_state_prob_3,-0.003147277781363611,0.0009167806205723814,83
dist_to_high_atr_80,-0.0034446404391099473,0.0019497675295323225,84
rebound_from_low_80,-0.03971454428097163,0.0027346740740493074,85
