model,test_average_precision,test_roc_auc,test_brier,test_balanced_accuracy_050,test_precision_050,test_recall_050,test_positive_rate,test_accuracy_050,cv_average_precision,cv_roc_auc
boosting,0.3382504250074863,0.9487149803195184,0.04713360598537539,0.7834320113782953,0.3488372093023256,0.6122448979591837,0.03819173811379579,0.9415432579890881,0.6855266824501335,0.9770282624497882
logistic,0.3041033077886408,0.9484338305824761,0.0813128390196882,0.9146131710382694,0.2903225806451613,0.9183673469387755,0.03819173811379579,0.9111457521434139,0.5905235089475745,0.9570311441151154
random_forest,0.27086627868292673,0.9501703436642079,0.07501841272665355,0.9546191247974067,0.30434782608695654,1.0,0.03819173811379579,0.9127045985970382,0.7587067063055097,0.9855498127078188
