ticker,tier,strategy,selection_order,feature_index,feature_name,reference_name,correlation,abs_correlation,threshold
BMW.DE,tier6,all_features,1,0,target_history,target_y,,,
BMW.DE,tier6,all_features,2,1,weekly_close_lag_1,residual_error,,,
BMW.DE,tier6,all_features,3,2,calendar_gap_days,residual_error,,,
BMW.DE,tier6,all_features,4,3,month_sin_1,residual_error,,,
BMW.DE,tier6,all_features,5,4,month_cos_1,residual_error,,,
BMW.DE,tier6,all_features,6,5,month_sin_2,residual_error,,,
BMW.DE,tier6,all_features,7,6,month_cos_2,residual_error,,,
BMW.DE,tier6,all_features,8,7,day_sin_1,residual_error,,,
BMW.DE,tier6,all_features,9,8,day_cos_1,residual_error,,,
BMW.DE,tier6,all_features,10,9,day_sin_2,residual_error,,,
BMW.DE,tier6,all_features,11,10,day_cos_2,residual_error,,,
BMW.DE,tier6,all_features,12,11,day_of_year_sin_1,residual_error,,,
BMW.DE,tier6,all_features,13,12,day_of_year_cos_1,residual_error,,,
BMW.DE,tier6,all_features,14,13,day_of_year_sin_2,residual_error,,,
BMW.DE,tier6,all_features,15,14,day_of_year_cos_2,residual_error,,,
