unique_id,model,long_accuracy,long_precision,long_recall,long_signal_rate,rows
AAPL,Ridge,0.475,0.5,0.38095238095238093,0.4,120
AAPL,RandomForest,0.49166666666666664,0.5714285714285714,0.12698412698412698,0.11666666666666667,120
AAPL,LightGBM,0.48333333333333334,0.5263157894736842,0.15873015873015872,0.15833333333333333,120
AAPL,XGBoost,0.475,0.0,0.0,0.0,120
AAPL,CatBoost,0.4666666666666667,0.46153846153846156,0.09523809523809523,0.10833333333333334,120
BMW.DE,Ridge,0.4666666666666667,0.4090909090909091,0.75,0.7333333333333333,120
BMW.DE,RandomForest,0.525,0.43661971830985913,0.6458333333333334,0.5916666666666667,120
BMW.DE,LightGBM,0.4666666666666667,0.40476190476190477,0.7083333333333334,0.7,120
BMW.DE,XGBoost,0.43333333333333335,0.3979591836734694,0.8125,0.8166666666666667,120
BMW.DE,CatBoost,0.4666666666666667,0.3918918918918919,0.6041666666666666,0.6166666666666667,120
