model,test_average_precision,test_roc_auc,test_brier,test_balanced_accuracy_050,test_precision_050,test_recall_050,test_positive_rate,test_accuracy_050,cv_average_precision,cv_roc_auc
boosting,0.2587953817789656,0.9305648369132856,0.05695744073042803,0.7981782020684169,0.2920353982300885,0.66,0.03825554705432287,0.9257842387146136,0.7019675293457207,0.9646516332325541
logistic,0.21239113410934263,0.9336038186157518,0.08549275155676243,0.8922673031026254,0.2682926829268293,0.88,0.03825554705432287,0.9035960214231064,0.6212074688098933,0.9705340494093345
random_forest,0.2450754988606109,0.942832140015911,0.08374459804086812,0.9486873508353222,0.27932960893854747,1.0,0.03825554705432287,0.901300688599847,0.7314012176928032,0.9753465602427337
