date,CombinedEquity
2026-05-04 09:45:00+03:00,1000000.0
2026-05-04 10:00:00+03:00,1000000.0
2026-05-04 10:15:00+03:00,1000000.0
2026-05-04 10:30:00+03:00,1000000.0
2026-05-04 10:45:00+03:00,1000000.0
2026-05-04 11:00:00+03:00,1000000.0
2026-05-04 11:15:00+03:00,1000000.0
2026-05-04 11:30:00+03:00,1000000.0
2026-05-04 11:45:00+03:00,1000000.0
2026-05-04 12:00:00+03:00,1000000.0
2026-05-04 12:15:00+03:00,1000000.0
2026-05-04 12:30:00+03:00,1000000.0
2026-05-04 12:45:00+03:00,1000000.0
2026-05-04 13:00:00+03:00,1000000.0
2026-05-04 13:15:00+03:00,1000000.0
2026-05-04 13:30:00+03:00,1000000.0
2026-05-04 13:45:00+03:00,1000000.0
2026-05-04 14:00:00+03:00,1000000.0
2026-05-04 14:15:00+03:00,1000000.0
2026-05-04 14:30:00+03:00,1000000.0
2026-05-04 14:45:00+03:00,1000000.0
2026-05-04 15:00:00+03:00,1000000.0
2026-05-04 15:15:00+03:00,1000000.0
2026-05-04 15:30:00+03:00,1000000.0
2026-05-04 15:45:00+03:00,1000000.0
2026-05-04 16:00:00+03:00,1000000.0
2026-05-04 16:15:00+03:00,1000000.0
2026-05-04 16:30:00+03:00,1000000.0
2026-05-04 16:45:00+03:00,1000000.0
2026-05-04 17:00:00+03:00,1000000.0
2026-05-04 17:15:00+03:00,1000000.0
2026-05-04 17:30:00+03:00,1000000.0
2026-05-04 17:45:00+03:00,1000000.0
2026-05-05 09:45:00+03:00,1000000.0
2026-05-05 10:00:00+03:00,1000000.0
2026-05-05 10:15:00+03:00,1000000.0
2026-05-05 10:30:00+03:00,1000000.0
2026-05-05 10:45:00+03:00,1000000.0
2026-05-05 11:00:00+03:00,1000000.0
2026-05-05 11:15:00+03:00,1000000.0
2026-05-05 11:30:00+03:00,1000000.0
2026-05-05 11:45:00+03:00,1000000.0
2026-05-05 12:00:00+03:00,1000000.0
2026-05-05 12:15:00+03:00,1000000.0
2026-05-05 12:30:00+03:00,1000000.0
2026-05-05 12:45:00+03:00,1000000.0
2026-05-05 13:00:00+03:00,1000000.0
2026-05-05 13:15:00+03:00,1000000.0
2026-05-05 13:30:00+03:00,1000000.0
2026-05-05 13:45:00+03:00,1000000.0
2026-05-05 14:00:00+03:00,1000000.0
2026-05-05 14:15:00+03:00,1000000.0
2026-05-05 14:30:00+03:00,1000000.0
2026-05-05 14:45:00+03:00,1000000.0
2026-05-05 15:00:00+03:00,1000000.0
2026-05-05 15:15:00+03:00,1000000.0
2026-05-05 15:30:00+03:00,1000000.0
2026-05-05 15:45:00+03:00,1000000.0
2026-05-05 16:00:00+03:00,1000000.0
2026-05-05 16:15:00+03:00,1000000.0
2026-05-05 16:30:00+03:00,1000000.0
2026-05-05 16:45:00+03:00,1000000.0
2026-05-05 17:00:00+03:00,1000000.0
2026-05-05 17:15:00+03:00,1000000.0
2026-05-05 17:30:00+03:00,1000000.0
2026-05-05 17:45:00+03:00,1000000.0
2026-05-06 09:45:00+03:00,1000000.0
2026-05-06 10:00:00+03:00,1000000.0
2026-05-06 10:15:00+03:00,1000000.0
2026-05-06 10:30:00+03:00,1000000.0
2026-05-06 10:45:00+03:00,1000000.0
2026-05-06 11:00:00+03:00,1000000.0
2026-05-06 11:15:00+03:00,1000000.0
2026-05-06 11:30:00+03:00,1000000.0
2026-05-06 11:45:00+03:00,1000000.0
2026-05-06 12:00:00+03:00,1000000.0
2026-05-06 12:15:00+03:00,1000000.0
2026-05-06 12:30:00+03:00,1000000.0
2026-05-06 12:45:00+03:00,1000000.0
2026-05-06 13:00:00+03:00,1000000.0
2026-05-06 13:15:00+03:00,1000000.0
2026-05-06 13:30:00+03:00,1000000.0
2026-05-06 13:45:00+03:00,1000000.0
2026-05-06 14:00:00+03:00,1000000.0
2026-05-06 14:15:00+03:00,1000000.0
2026-05-06 14:30:00+03:00,1000000.0
2026-05-06 14:45:00+03:00,1000000.0
