Symbol,SupportBreakZoneId,SupportBreakBarIdx,SupportBreakPrice,HHBarIdx,HHConfirmBarIdx,HHPrice,State,Bottom1BarIdx,Bottom1ConfirmBarIdx,Bottom1Price,BottomZoneBottom,BottomZoneTop,NeckBarIdx,NeckConfirmBarIdx,NeckPrice,Bottom2BarIdx,Bottom2ConfirmBarIdx,Bottom2Price,BottomDifferencePct,PostB2HighChecked,PostB2HighPassedNeck,PatternId,EntryBarIdx,EntryPrice,BreakoutLevel,StopPrice,TargetPrice,PatternHeight,Status,SupportBreakDate,HHDate,Bottom1Date,NeckDate,Bottom2Date,EntryDate,SignalEntryDate,SignalEntryPrice,SLPct,TPPct
BIMAS.IS,1,1267,361.75,1200,1203,373.5,COMPLETED,1286,1289,353.25,352.013625,355.01624999999996,1299,1302,364.0,1315,1318,354.5,0.3538570417551309,False,False,1,1332,366.25,364.0,351.837,374.125,10.125,Completed,2026-07-02 10:15:00+03:00,2026-06-30 10:00:00+03:00,2026-07-02 15:00:00+03:00,2026-07-03 10:00:00+03:00,2026-07-03 14:00:00+03:00,2026-07-06 10:00:00+03:00,2026-07-06 10:00:00+03:00,366.25,0.039352901023890816,0.021501706484641638
KCHOL.IS,18,1210,193.89999389648438,1135,1138,198.6999969482422,COMPLETED,1229,1232,191.6999969482422,191.02904695892335,192.65849693298338,1230,1233,194.0,1233,1236,191.10000610351562,0.31298427453212546,False,False,1,1236,194.5,194.0,190.33560607910155,196.5999984741211,2.5999984741210938,Completed,2026-06-30 12:30:00+03:00,2026-06-26 10:15:00+03:00,2026-06-30 17:15:00+03:00,2026-06-30 17:30:00+03:00,2026-07-01 10:00:00+03:00,2026-07-01 10:45:00+03:00,2026-07-01 10:45:00+03:00,194.5,0.021410765660146262,0.010796907321959351
ISCTR.IS,15,1651,13.470000267028809,1593,1596,13.989999771118164,COMPLETED,1688,1691,12.90999984741211,12.864814847946167,12.974549846649168,1696,1699,13.09000015258789,1718,1721,12.9399995803833,0.23237593590835745,False,False,1,1723,13.109999656677246,13.09000015258789,12.858359848022461,13.255000591278076,0.16500043869018555,Completed,2026-07-20 15:30:00+03:00,2026-07-16 17:30:00+03:00,2026-07-21 16:30:00+03:00,2026-07-22 10:15:00+03:00,2026-07-22 15:45:00+03:00,2026-07-22 17:00:00+03:00,2026-07-22 17:00:00+03:00,13.109999656677246,0.01919449391645243,0.011060330922814138
