side,mode,entry_time,exit_time,entry_idx,exit_idx,entry,exit,stop,target,qty,leverage,risk_cash,risk_pct,stop_pct,pnl_per_unit,pnl_cash,pnl_pct_on_cash,exit_reason,pattern_key,tl_kind,setup_role,anchor0_idx,anchor0_price,anchor1_idx,anchor1_price,parallel0_idx,parallel0_price,low_anchor0_idx,low_anchor0_price,low_anchor1_idx,low_anchor1_price,low_slope,corrective_from_idx,corrective_from_price,corrective_to_idx,corrective_to_price,slope,breakout_idx
long,bounce,2026-04-30 14:30:00,2026-05-04 10:05:00,55,99,269.75,267.01445,267.01445,273.853325,182.77860028147978,0.4930452742592917,500.00000000000006,0.005000000000000001,0.010141056533827578,-2.7355499999999893,-500.00000000000006,-0.005000000000000001,stop,"('bearish_high_tl', 30, 34, 40)",bearish_high_tl,,30,273.75,40,272.25,34,270.5,,,,,,34,270.5,40,272.25,-0.15,
long,bounce,2026-05-04 11:50:00,2026-05-06 13:40:00,120,336,269.25,264.36535000000003,264.36535000000003,276.57697499999995,102.3614793281,0.27560828309090923,500.0000000000001,0.005000000000000001,0.018141689879294206,-4.884649999999965,-500.0000000000001,-0.005000000000000001,stop,"('bearish_high_tl', 40, 55, 60)",bearish_high_tl,,40,272.25,60,271.5,55,267.25,,,,,,55,267.25,60,271.5,-0.0375,
long,bounce,2026-05-06 15:20:00,2026-05-07 10:05:00,356,390,267.5,262.0670269230769,262.0670269230769,275.6494596153846,92.03064195620334,0.24618196723284394,500.00000000000006,0.005000000000000001,0.020310179726815238,-5.432973076923076,-500.00000000000006,-0.005000000000000001,stop,"('bearish_high_tl', 86, 100, 112)",bearish_high_tl,,86,271.75,112,271.5,100,265.0,,,,,,100,265.0,112,271.5,-0.009615384615384616,
long,bounce,2026-05-07 10:10:00,2026-05-13 12:35:00,391,808,263.0,253.34636744186048,253.34636744186048,277.4804488372093,51.79397465034257,0.13621815333040097,500.0,0.005,0.03670582721726053,-9.65363255813952,-500.0,-0.005,stop,"('bearish_high_tl', 313, 339, 356)",bearish_high_tl,,313,274.0,356,269.0,339,259.75,,,,,,339,259.75,356,269.0,-0.11627906976744186,
long,bounce,2026-05-13 12:40:00,2026-05-13 15:50:00,809,847,253.5,250.47156935483872,250.47156935483872,260.95585,165.10201440435247,0.4185336065150335,500.0,0.005,0.011946471973022798,-3.0284306451612792,-500.0,-0.005,stop,"('bearish_high_tl', 693, 714, 724)",bearish_high_tl,,693,262.5,724,260.25,714,257.75,,,,,,714,257.75,724,260.25,-0.07258064516129033,
long,bounce,2026-05-13 15:55:00,2026-05-15 10:00:00,848,971,250.5,255.9509,248.68546363636364,255.9509,275.55248272786935,0.6902589692333126,500.00000000000006,0.005000000000000001,0.007243658138268918,5.45089999999999,1502.0090281013404,0.015020090281013403,target,"('bearish_high_tl', 782, 799, 804)",bearish_high_tl,,782,256.75,804,254.75,799,253.5,,,,,,799,253.5,804,254.75,-0.09090909090909091,
long,bounce,2026-05-15 14:55:00,2026-05-15 15:05:00,1030,1032,257.0,256.03785,256.03785,258.46215,519.6694902042257,1.3355505898248599,500.0,0.005,0.0037437743190661802,-0.9621500000000083,-500.0,-0.005,stop,"('bearish_high_tl', 997, 1009, 1017)",bearish_high_tl,,997,258.5,1017,258.0,1009,257.0,,,,,,1009,257.0,1017,258.0,-0.025,
long,bounce,2026-05-15 16:50:00,2026-05-18 15:45:00,1053,1137,253.5,251.996825,251.996825,264.7063,332.62926804929594,0.8432151945049652,500.00000000000006,0.005000000000000001,0.005929684418145952,-1.5031749999999988,-500.00000000000006,-0.005000000000000001,stop,"('bearish_high_tl', 556, 569, 572)",bearish_high_tl,,556,261.5,572,261.25,569,260.0,,,,,,569,260.0,572,261.25,-0.015625,
long,bounce,2026-05-18 17:55:00,2026-05-20 10:05:00,1163,1166,253.25,250.31487027027026,250.31487027027026,257.6526945945946,170.35022163945004,0.4314119363019073,499.99999999999994,0.004999999999999999,0.011589850857767968,-2.935129729729738,-499.99999999999994,-0.004999999999999999,stop,"('bearish_high_tl', 1087, 1116, 1124)",bearish_high_tl,,1087,259.25,1124,256.25,1116,254.5,,,,,,1116,254.5,1124,256.25,-0.08108108108108109,
long,bounce,2026-05-20 10:10:00,2026-05-21 17:25:00,1167,1351,249.3000030517578,245.89216908541593,245.89216908541593,254.69874000549316,146.72076308245784,0.36577486684212973,500.0,0.005,0.013669610608205143,-3.407833966341883,-500.0,-0.005,stop,"('bearish_high_tl', 1124, 1143, 1146)",bearish_high_tl,,1124,256.25,1146,252.75,1143,250.0,,,,,,1143,250.0,1146,252.75,-0.1590909090909091,
