H0_date,H0_price,LL_date,LL_price,H1_date,H1_price,HL_date,HL_price,breakout_date,breakout_price,entry_H1,stop_HL,major_invalidation_LL,target
2018-03-26,18.157142639160156,2018-05-07,13.300000190734863,2018-06-25,16.55714225769043,2018-07-09,13.478570938110352,2018-08-13,17.200000762939453,16.55714225769043,13.478570938110352,13.300000190734863,18.837141704559325
2019-09-30,20.871427536010742,2020-03-23,9.364285469055176,2020-06-22,13.085714340209961,2020-08-03,10.457141876220703,2020-11-23,13.5,13.085714340209961,10.457141876220703,9.364285469055176,15.69071455001831
2021-03-08,15.714284896850586,2021-03-22,11.692856788635254,2021-06-07,15.071428298950195,2021-07-26,13.0,2021-09-13,15.528571128845215,15.071428298950195,13.0,11.692856788635254,17.436428356170655
