side,mode,entry_time,exit_time,entry_idx,exit_idx,entry,exit,stop,target,qty,leverage,risk_cash,risk_pct,stop_pct,pnl_cash,pnl_pct_on_cash,exit_reason,pattern_key,anchor0_idx,anchor0_price,anchor1_idx,anchor1_price,low_anchor0_idx,low_anchor0_price,low_anchor1_idx,low_anchor1_price,slope,low_slope,breakout_idx
long,breakout,2026-05-06 15:45:00,2026-05-07 17:55:00,361,484,268.25,259.26715,259.26715,281.724275,55.661621868338095,0.14931230066181694,500.0,0.005,0.03348685927306611,-500.0,-0.005,stop,"('breakout', 326, 339, 352, 358)",326,270.5,352,268.25,339,259.75,358,267.0,-0.08653846153846154,0.3815789473684211,356.0
long,breakout,2026-05-12 15:45:00,2026-05-12 16:50:00,749,762,260.0,257.282,257.282,264.077,183.95879323031522,0.4782928623988196,500.00000000000006,0.005000000000000001,0.010453846153846221,-500.00000000000006,-0.005000000000000001,stop,"('breakout', 704, 718, 724, 746)",704,261.75,724,260.25,718,257.75,746,259.0,-0.075,0.044642857142857144,735.0
long,breakout,2026-05-18 10:25:00,2026-05-18 15:45:00,1073,1137,260.25,252.28155,252.28155,272.202675,62.74746029654458,0.16330026542175727,500.00000000000006,0.005000000000000001,0.030618443804034542,-500.00000000000006,-0.005000000000000001,stop,"('breakout', 1036, 1053, 1059, 1070)",1036,256.75,1059,255.75,1053,252.75,1070,259.5,-0.043478260869565216,0.39705882352941174,1067.0
long,bounce,2026-05-18 17:15:00,2026-05-18 17:45:00,1155,1161,252.0,253.4304,251.0464,253.4304,524.3288590604058,1.3213087248322224,500.0,0.005,0.0037841269841269623,750.0,0.0075,target,"('bounce', 1124, 1143, 1148, 1150, 1152)",1124,256.25,1148,252.75,1143,250.0,1150,251.5,-0.14583333333333334,0.21428571428571427,
long,bounce,2026-05-22 12:35:00,2026-05-22 15:25:00,1387,1421,243.39999389648438,240.9618739074707,240.9618739074707,247.05717388000488,205.07604312053255,0.4991550764385279,500.0,0.005,0.010016927075399105,-500.0,-0.005,stop,"('bounce', 1344, 1357, 1369, 1373, 1377)",1344,250.25,1369,244.8000030517578,1357,239.0,1373,241.39999389648438,-0.2179998779296875,0.14999961853027344,
long,bounce,2026-06-02 14:25:00,2026-06-02 15:25:00,1732,1744,242.1999969482422,243.7539232070923,241.16404610900878,243.7539232070923,482.6483854870898,1.1689743749204717,500.0,0.005,0.004277253725377995,750.0,0.0075,target,"('bounce', 1706, 1710, 1720, 1723, 1729)",1706,243.39999389648438,1720,243.0,1710,240.8000030517578,1723,241.60000610351562,-0.028570992606026784,0.0615386962890625,
long,breakout,2026-06-02 16:10:00,2026-06-02 17:45:00,1753,1772,244.3000030517578,250.20934304351806,240.360443057251,250.20934304351806,126.91772702971436,0.31006001100681385,499.9999999999999,0.004999999999999999,0.016125910541524558,750.0000000000017,0.007500000000000017,target,"('breakout', 1706, 1710, 1720, 1750)",1706,243.39999389648438,1720,243.0,1710,240.8000030517578,1750,243.10000610351562,-0.028570992606026784,0.05750007629394531,1741.0
long,breakout,2026-06-02 17:55:00,2026-06-03 16:15:00,1774,1851,249.89999389648438,240.35036304626465,240.35036304626465,264.22444017181397,52.35804481264273,0.13084275079111274,500.0,0.005,0.038213809857776365,-500.0,-0.005,stop,"('breakout', 1706, 1710, 1720, 1771)",1706,243.39999389648438,1720,243.0,1710,240.8000030517578,1771,248.6999969482422,-0.028570992606026784,0.12950809666367827,1741.0
long,breakout,2026-06-10 14:50:00,2026-06-11 12:20:00,2318,2385,235.1999969482422,232.1766461090088,232.1766461090088,239.73502320709227,165.37941727159324,0.388972384375808,500.0,0.005,0.012854382986657531,-500.0,-0.005,stop,"('breakout', 2283, 2288, 2294, 2315)",2283,235.0,2294,234.10000610351562,2288,232.60000610351562,2315,234.1999969482422,-0.081817626953125,0.05925892017505787,2305.0
long,breakout,2026-06-16 13:00:00,2026-06-16 14:15:00,2684,2699,228.89999389648438,226.9881538909912,226.9881538909912,231.76775390472412,261.52816060098314,0.5986379436532383,499.99999999999994,0.004999999999999999,0.008352293824689896,-499.99999999999994,-0.004999999999999999,stop,"('breakout', 2661, 2665, 2668, 2681)",2661,229.89999389648438,2668,228.5,2665,227.39999389648438,2681,228.39999389648438,-0.19999912806919642,0.0625,2673.0
long,bounce,2026-06-18 14:50:00,2026-06-18 16:00:00,2900,2914,222.60000610351562,223.3000030517578,222.29913695373534,223.3000030517578,1661.8520056480943,3.6992826660040548,500.0,0.005,0.0013516133941181016,1163.2913323838245,0.011632913323838244,target,"('bounce', 2883, 2885, 2888, 2892, 2897)",2883,223.5,2888,223.3000030517578,2885,222.60000610351562,2892,222.6999969482422,-0.0399993896484375,0.014284406389508928,
long,bounce,2026-06-24 11:35:00,2026-06-24 11:40:00,3249,3250,219.10000610351562,218.40562304077147,218.40562304077147,220.14158069763187,720.0636461725267,1.577659492713203,500.0,0.005,0.0031692516814266283,-500.0,-0.005,stop,"('bounce', 3220, 3235, 3239, 3242, 3246)",3220,220.89999389648438,3239,219.6999969482422,3235,218.39999389648438,3242,218.8000030517578,-0.06315773411800987,0.0571441650390625,
long,breakout,2026-06-24 17:00:00,2026-06-25 10:15:00,3314,3330,217.89999389648438,221.188305569458,215.70778611450194,221.188305569458,228.08056978424085,0.4969875476389276,500.0,0.005,0.010060614242255845,749.9999999999968,0.0074999999999999685,target,"('breakout', 3296, 3300, 3305, 3311)",3296,217.0,3305,216.8000030517578,3300,216.10000610351562,3311,217.0,-0.022221883138020832,0.081817626953125,3309.0
long,breakout,2026-06-25 15:55:00,2026-06-25 17:35:00,3398,3418,216.60000610351562,215.1103,215.1103,218.83456525878907,335.6366727772851,0.7269890537212365,499.9999999999999,0.004999999999999999,0.0068776826479112945,-499.9999999999999,-0.004999999999999999,stop,"('breakout', 3377, 3381, 3384, 3395)",3377,216.6999969482422,3384,216.39999389648438,3381,215.5,3395,216.10000610351562,-0.042857578822544644,0.042857578822544644,3390.0
