model,test_mae,test_rmse,test_r2,test_correlation,test_directional_accuracy,test_actual_positive_rate,test_predicted_positive_rate,test_positive_precision,test_positive_recall,cv_mae,cv_rmse,cv_correlation
boosting,1.1624755751179763,1.5593439377912282,-0.44249301754165016,-0.06559802339998792,0.4754863813229572,0.2848249027237354,0.22023346303501945,0.21554770318021202,0.16666666666666666,1.1037483890645736,1.6258701263049395,-0.012412198210442421
ridge,1.0613589708278461,1.39897181134355,-0.16104169063435037,0.0485445535109924,0.5042801556420233,0.2848249027237354,0.1245136186770428,0.19375,0.08469945355191257,1.1047159647194174,1.6156059283997883,0.08025985589599886
random_forest,1.0211344350773877,1.410499086666744,-0.18025406723826576,0.004855497494776798,0.5626459143968872,0.2848249027237354,0.111284046692607,0.22377622377622378,0.08743169398907104,1.0286813946199094,1.5268955036824596,-0.029009142028544883
