Date,boosting_forecast_score,boosting_return_forecast_pct,ridge_forecast_score,ridge_return_forecast_pct,random_forest_forecast_score,random_forest_return_forecast_pct
2026-05-07 09:55:00+03:00,0.12633527955931845,-0.5486550140677829,0.0348078135773204,-1.2149044276927372,0.25002936167465184,-0.14791473102993336
2026-05-07 10:00:00+03:00,0.17376831387322522,-0.1014295813214293,0.1791665366876291,0.317358788434557,0.24987069154637656,-0.14913337463203544
2026-05-07 10:05:00+03:00,0.1909070489821942,-0.21376067605125879,0.277136723854771,0.3273594331554987,0.2509559104511579,-0.14002351016716524
2026-05-07 10:10:00+03:00,0.1743018809515378,-0.4874843341272523,0.4468080071176219,1.0036568751912383,0.2508049400376903,-0.14670369629505922
2026-05-07 10:15:00+03:00,0.15542844895692115,-0.5874255136166969,0.4659954914734055,0.38746227374249176,0.2491290011998961,-0.15885655199482426
2026-05-07 10:20:00+03:00,0.1631075977628841,-0.3534035716738458,0.5547841305660514,0.8620141533002634,0.24809619623543513,-0.1582007966742744
2026-05-07 10:25:00+03:00,0.16056671191954744,-0.4327731895808258,0.5145113901590994,0.25160971190170645,0.24696626597181034,-0.16163174399492602
2026-05-07 10:30:00+03:00,0.1378927293478511,-0.7161828325426152,0.5215991226975614,0.4478447401056098,0.24621297912939383,-0.16163174399492602
2026-05-07 10:35:00+03:00,0.14534770096856767,-0.41554932681071244,0.5358712469307436,0.5033805089785937,0.24629058306829338,-0.15712756769069847
2026-05-07 10:40:00+03:00,0.15111414651363647,-0.4070820860484933,0.5335312581569769,0.43450283153765534,0.2464289529677587,-0.1564563876108447
2026-05-07 10:45:00+03:00,0.16778979506700364,-0.28259257398939885,0.5262073247575104,0.40126184858785585,0.2467923395644298,-0.15435884827526525
2026-05-07 10:50:00+03:00,0.17513690778000532,-0.31710139505075124,0.517150843564114,0.3772287287100228,0.24633327697878188,-0.15979383105842304
2026-05-07 10:55:00+03:00,0.19640118554516922,-0.1767482274044963,0.498540031942857,0.30469565901495155,0.24693660034297418,-0.1527525484186931
2026-05-07 11:00:00+03:00,0.19551108295794278,-0.30503066802905165,0.5049308885586254,0.41308013476476946,0.2469942841838116,-0.15541413182482797
2026-05-07 11:05:00+03:00,0.20619140184763848,-0.20727482921132348,0.5139849039561623,0.4407468464232308,0.24720628042873946,-0.15407256288743398
2026-05-07 11:10:00+03:00,0.2149637288873725,-0.1938491657809703,0.4727372710913256,0.16496269244206238,0.2472870501521854,-0.15454052057813308
2026-05-07 11:15:00+03:00,0.2381280659641954,-0.06348030486012753,0.4604731019508055,0.25547255130141444,0.24772171288765502,-0.151601759991396
2026-05-07 11:20:00+03:00,0.2518634880105295,-0.07562053995967538,0.4421525071072513,0.19554333161190804,0.2487373891510399,-0.1460248920959107
2026-05-07 11:25:00+03:00,0.26417457876608313,-0.05329710743896304,0.4022289922998972,0.02269052052447841,0.2516756335449299,-0.12885638738743396
2026-05-07 11:30:00+03:00,0.24602197109164411,-0.2573842464196028,0.42145012921050634,0.3019420289917506,0.2541490572365409,-0.12499069129510398
2026-05-07 11:35:00+03:00,0.23253714880018275,-0.2694836572027369,0.4592311014380621,0.4459517134860206,0.2534640844519875,-0.14264645902999282
2026-05-07 11:40:00+03:00,0.22187165888594285,-0.28438724439752255,0.43800992224988605,0.17567408206495758,0.25300743592895186,-0.14264645902999282
2026-05-07 11:45:00+03:00,0.20270082749690477,-0.40107631636794877,0.4045435665874342,0.05573960678312594,0.25270300358026143,-0.14264645902999282
2026-05-07 11:50:00+03:00,0.18945495477706925,-0.40596920645554224,0.36170685931347735,-0.08351597880987235,0.25225309975619836,-0.14453341678141063
2026-05-07 11:55:00+03:00,0.2291779017713416,-0.007876774301098772,0.32989905553139987,-0.10718627698575878,0.25399676617300987,-0.12902706787554222
2026-05-07 12:00:00+03:00,0.2729998826396611,0.10438127525126147,0.31405742283267973,-0.0683999347565396,0.2553365123430149,-0.12769322258431787
2026-05-07 12:05:00+03:00,0.2849985792255462,-0.0070402470584903995,0.2805961900554579,-0.24600830902039414,0.25622967645635164,-0.12769322258431787
2026-05-07 12:10:00+03:00,0.28116915088534006,-0.08959058660287486,0.25104871654189964,-0.31050807888127274,0.2568251191985761,-0.12769322258431787
2026-05-07 12:15:00+03:00,0.32739715166633215,0.22393363734454066,0.23161458292679174,-0.30806054184320275,0.25707859712856707,-0.12877251576589888
2026-05-07 12:20:00+03:00,0.3569294951514573,0.21632307525812736,0.2403917931070472,-0.12786813375617712,0.2573910663133864,-0.12769322258431787
2026-05-07 12:25:00+03:00,0.35632133594934534,0.09281766789382732,0.21371737000834506,-0.41515415590087845,0.2561151006999075,-0.13891563350453476
2026-05-07 12:30:00+03:00,0.32788771838738423,-0.09561927553144828,0.22221673950251228,-0.1759946744691752,0.2545387777394811,-0.14444969496679358
2026-05-07 12:35:00+03:00,0.3056036819150363,-0.12015475635983164,0.20986777332871132,-0.33178115222837745,0.25348789576586345,-0.14444969496679358
2026-05-07 12:40:00+03:00,0.30618874851952793,-0.010724060277112164,0.21605357307629008,-0.2048949024365053,0.2527873077834517,-0.14444969496679358
2026-05-07 12:45:00+03:00,0.2770595049042877,-0.23149358499330133,0.2141504854802389,-0.25556965583862545,0.25232024912851053,-0.14444969496679358
2026-05-07 12:50:00+03:00,0.2831324816758935,-0.038256289764260744,0.20432721974435494,-0.3333380878098249,0.2520088766918831,-0.14444969496679358
2026-05-07 12:55:00+03:00,0.2756532481043371,-0.12100279411241865,0.2005935061302342,-0.3068904739343352,0.2518012950674648,-0.14444969496679358
2026-05-07 13:00:00+03:00,0.30413604169440656,0.10533349977551953,0.19641300658952326,-0.3226713189074246,0.25176959269225685,-0.1436341214289975
2026-05-07 13:05:00+03:00,0.2965754137376377,-0.07058022514060028,0.19626887628981704,-0.29815098225872616,0.25156496580185467,-0.14503728244775846
2026-05-07 13:10:00+03:00,0.2882376446600321,-0.09430487647299708,0.19471236831730934,-0.31160508110131924,0.25161203984851677,-0.1436341214289975
2026-05-07 13:15:00+03:00,0.2880998559553007,-0.05557089759507555,0.2130758624419394,-0.1484944331062352,0.25076141070947805,-0.1503976604772436
2026-05-07 13:20:00+03:00,0.29923248443293315,0.0207472293932659,0.22160512145408467,-0.17745055251838246,0.2512962030489241,-0.14195548326925234
2026-05-07 13:25:00+03:00,0.32776756167568716,0.15403900087126896,0.22494281066048497,-0.1962456402986645,0.2516527312752215,-0.14195548326925234
2026-05-07 13:30:00+03:00,0.35374154726680007,0.1958979432432275,0.2308196201586811,-0.1671852801567584,0.2570979736006889,-0.10300804999907366
2026-05-07 13:35:00+03:00,0.44255106095557956,0.614284726184338,0.23070865486815598,-0.1993009418204789,0.28648553609507343,0.07206172609786521
2026-05-07 13:40:00+03:00,0.40062708004723174,0.010328782951145922,0.25096290030069396,-0.04706678141768858,0.2783297423304089,-0.11771401456787402
