strategy,final_value,total_return_pct,max_drawdown_pct,rough_sharpe,trades,win_rate_pct
absorption_diagnostic,92550.82368849701,-7.449176311502992,-7.449176311502992,-39.77220255986707,320,2.8125
continuation,98286.93844717438,-1.7130615528256121,-1.7203317161381126,-6.774125608935613,97,22.68041237113402
strict_continuation,99428.44989494231,-0.5715501050576832,-0.584035865057686,-5.334359751235151,25,16.0
buy_hold,87488.98405347634,-12.33595048943269,-20.249022227635127,-1.3558511205532706,1,0.0
