Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
0,AKBNK.IS,87.0,2026-07-14 08:30:00,68.76869694519043,5.982876634231568,2026-07-14 10:10:00,68.98095304870606,6.0013429152374265,6.4820614563899515,0.001083435586704605,Long,Closed,0
1,ASELS.IS,14.0,2026-05-22 12:20:00,405.65524999999997,5.6791735,2026-05-22 13:30:00,405.0945,5.671322999999999,-19.200996500000464,-0.003380949094089213,Long,Closed,1
2,ASELS.IS,16.0,2026-06-08 11:15:00,370.11974999999995,5.9219159999999995,2026-06-08 12:40:00,372.87675,5.9660280000000006,32.22405600000099,0.005441491571309184,Long,Closed,2
3,ASELS.IS,17.0,2026-07-01 08:15:00,351.8515,5.981475499999999,2026-07-01 09:30:00,358.5,6.0945,100.94852450000045,0.016876859982123217,Long,Closed,3
4,ASELS.IS,16.0,2026-07-20 11:15:00,359.85949999999997,5.757752,2026-07-20 12:15:00,359.64,5.75424,-15.023991999999716,-0.0026093503158871236,Long,Closed,4
5,ASTOR.IS,18.0,2026-05-18 11:55:00,317.56724999999994,5.716210499999999,2026-05-18 12:10:00,313.75,5.6475,-80.07421049999923,-0.01400826832741713,Long,Closed,5
6,ASTOR.IS,18.0,2026-06-05 10:35:00,324.07374999999996,5.833327499999999,2026-06-05 11:15:00,319.68,5.75424,-90.67506749999963,-0.015544312830027053,Long,Closed,6
7,BIMAS.IS,15.0,2026-05-18 12:35:00,395.64525,5.93467875,2026-05-18 13:35:00,396.1035,5.9415525,-5.002481250000255,-0.0008429236797358669,Long,Closed,7
8,BIMAS.IS,15.0,2026-07-07 10:55:00,376.12575,5.64188625,2026-07-07 11:30:00,374.87475,5.6231212500000005,-30.030007499999417,-0.0053226892867610405,Long,Closed,8
9,ENKAI.IS,60.0,2026-05-20 14:30:00,99.39930305480956,5.963958183288574,2026-05-20 14:35:00,98.75,5.925,-50.84714147186279,-0.008525737422898104,Long,Closed,9
10,ENKAI.IS,63.0,2026-06-19 12:55:00,94.14405305480956,5.931075342453002,2026-06-19 13:05:00,94.00589847564697,5.922371603965759,-20.55718543366161,-0.003466013201100135,Long,Closed,10
11,EREGL.IS,146.0,2026-07-03 09:20:00,41.121081832885736,6.003677947601317,2026-07-03 09:25:00,41.07887893295288,5.997516324211121,-18.162817662008365,-0.003025281805674646,Long,Closed,11
12,EREGL.IS,145.0,2026-07-06 09:00:00,41.3412992362976,5.994488389263153,2026-07-06 10:00:00,41.23871878051758,5.979614223175049,-26.848268700541468,-0.004478825707399807,Long,Closed,12
13,FROTO.IS,70.0,2026-05-22 12:05:00,85.53544694519042,5.987481286163329,2026-05-22 12:40:00,86.44999694824219,6.0514997863769535,51.979519141083784,0.008681366447224644,Long,Closed,13
14,ISCTR.IS,435.0,2026-07-17 14:00:00,13.793779732704161,6.00029418372631,2026-07-17 14:45:00,13.726259771347046,5.970923000535965,-41.34240037460698,-0.006890062238403863,Long,Closed,14
15,KRDMD.IS,155.0,2026-04-30 07:45:00,38.63859847259521,5.988982763252259,2026-04-30 08:20:00,38.279998779296875,5.933399810791015,-67.50533503528598,-0.011271586128030175,Long,Closed,15
16,SAHOL.IS,65.0,2026-06-08 11:30:00,91.5915,5.9534475,2026-06-08 12:40:00,91.60829695129395,5.954539301834107,-10.816184967727843,-0.0018167935415115094,Long,Closed,16
17,SISE.IS,126.0,2026-04-30 11:50:00,47.32727877807616,5.963237126037597,2026-04-30 12:05:00,47.15280076217651,5.941252896034241,-33.8887200254279,-0.005682940206663558,Long,Closed,17
18,TCELL.IS,56.0,2026-06-11 11:30:00,106.70659847259519,5.975569514465331,2026-06-11 11:50:00,106.09379695129394,5.94125262927246,-46.233707336608155,-0.007737121495229557,Long,Closed,18
19,THYAO.IS,17.0,2026-07-09 09:40:00,335.83549999999997,5.7092035,2026-07-09 10:35:00,334.665,5.689305,-31.297008499999333,-0.0054818519781260795,Long,Closed,19
20,TUPRS.IS,23.0,2026-05-21 09:05:00,252.25199999999998,5.8017959999999995,2026-05-21 10:05:00,250.99875,5.772971249999999,-40.39951724999976,-0.006963277793634896,Long,Closed,20
21,TUPRS.IS,25.0,2026-07-01 12:05:00,236.9366969451904,5.923417423629759,2026-07-01 13:30:00,237.1625939025879,5.929064847564698,-6.205058336256297,-0.0010475470311281816,Long,Closed,21
22,TUPRS.IS,22.0,2026-07-09 08:25:00,262.26199999999994,5.7697639999999994,2026-07-09 09:05:00,261.2385,5.747247,-34.03401099999982,-0.005898683377690981,Long,Closed,22
23,VAKBN.IS,191.0,2026-05-18 13:00:00,31.331299236297603,5.984278154132842,2026-05-18 13:20:00,31.18877931404114,5.957056848981857,-39.16264015409995,-0.006544254652844567,Long,Closed,23
24,VAKBN.IS,190.0,2026-07-13 14:00:00,31.451420076370237,5.975769814510345,2026-07-13 14:10:00,31.219999313354492,5.931799869537354,-55.87751465703917,-0.009350680563591585,Long,Closed,24
