model,test_mae,test_rmse,test_r2,test_correlation,test_directional_accuracy,test_actual_positive_rate,test_predicted_positive_rate,test_positive_precision,test_positive_recall,cv_mae,cv_rmse,cv_correlation
boosting,1.1770361038553108,1.5808880839136346,-0.48303454058454576,-0.0446911744926898,0.48791893998441155,0.2852689010132502,0.22291504286827749,0.24125874125874125,0.1885245901639344,1.1689924000877008,1.7225843789654882,-0.023240843706487754
ridge,1.142883536283998,1.4848452940583718,-0.30831231081979116,0.014627569099828524,0.49493374902572096,0.2852689010132502,0.1504286827747467,0.18134715025906736,0.09562841530054644,1.0783167242996554,1.5749900598987563,0.09308964146035599
random_forest,1.0260172942610282,1.4244211814284322,-0.2039982630717052,0.02732469675447378,0.5471551052221356,0.2852689010132502,0.12081060015588464,0.24516129032258063,0.10382513661202186,1.1026850352759783,1.6337428367580542,-0.008189053714669967
