unique_id,model,mae,rmse,mape,r2,rows
AAPL,Ridge,9.156040444425177,10.76275827421314,3.1983520080817085,0.7665227315350733,120
AAPL,RandomForest,12.381218043593124,17.367322628844914,4.145108000381173,0.392056561821319,120
AAPL,LightGBM,17.57624115672527,23.65944805094994,5.901112320087901,-0.1282533938115027,120
AAPL,XGBoost,17.699389521280924,23.578847953887877,5.962745118627462,-0.1205792979664353,120
AAPL,CatBoost,18.667768763386377,24.47181880554453,6.302758500538526,-0.20706297220764003,120
BMW.DE,Ridge,3.3708058136500756,4.101526179350691,4.753378939414534,0.8267638007681353,120
BMW.DE,RandomForest,1.5012590998199145,1.9377656176855393,2.027358691119412,0.9613321377640863,120
BMW.DE,LightGBM,1.7386783165395674,2.238148974276722,2.3360036694472246,0.9484147366801084,120
BMW.DE,XGBoost,1.5275103251139324,1.9190207081674102,2.036714249147181,0.9620766238717435,120
BMW.DE,CatBoost,2.169875835317913,2.667713175765849,2.9480699544042124,0.9267131697166898,120
