unique_id,model,long_accuracy,long_precision,long_recall,long_signal_rate,rows
AAPL,Ridge,0.475,0.5,0.38095238095238093,0.4,120
AAPL,RandomForest,0.48333333333333334,0.52,0.20634920634920634,0.20833333333333334,120
AAPL,LightGBM,0.4583333333333333,0.47058823529411764,0.25396825396825395,0.2833333333333333,120
AAPL,XGBoost,0.48333333333333334,0.5116279069767442,0.3492063492063492,0.35833333333333334,120
AAPL,CatBoost,0.5166666666666667,0.5555555555555556,0.3968253968253968,0.375,120
BMW.DE,Ridge,0.475,0.4175824175824176,0.7916666666666666,0.7583333333333333,120
BMW.DE,RandomForest,0.45,0.37142857142857144,0.5416666666666666,0.5833333333333334,120
BMW.DE,LightGBM,0.5,0.4032258064516129,0.5208333333333334,0.5166666666666667,120
BMW.DE,XGBoost,0.43333333333333335,0.3387096774193548,0.4375,0.5166666666666667,120
BMW.DE,CatBoost,0.4583333333333333,0.38666666666666666,0.6041666666666666,0.625,120
