Symbol,Exit Trade Id,Column,Size,Entry Timestamp,Avg Entry Price,Entry Fees,Exit Timestamp,Avg Exit Price,Exit Fees,PnL,Return,Direction,Status,Position Id
THYAO.IS,0,0,1668.3404312897842,2026-05-18 15:05:00+03:00,299.39962499999996,499.5004995004274,2026-05-18 17:45:00+03:00,295.065,492.26886935852013,-8223.39951083838,-0.016463245820698434,Long,Closed,0
ASELS.IS,0,0,1370.6269706615453,2026-06-10 10:40:00+03:00,364.432125,499.5004995004274,2026-06-10 14:45:00+03:00,368.5,505.0760386887795,4570.96265009068,0.00915106722548154,Long,Closed,0
ASELS.IS,1,0,1281.9719803058686,2026-06-23 11:35:00+03:00,393.19649999999996,504.06689575430937,2026-06-24 10:15:00+03:00,385.701,494.4578747759538,-10607.545748912818,-0.021043924602583988,Long,Closed,1
ASELS.IS,2,0,1354.0791634497746,2026-07-09 15:30:00+03:00,364.432125,493.4699469541665,2026-07-10 10:00:00+03:00,357.066,483.4956305763572,-10951.281955397013,-0.02219239899610928,Long,Closed,2
KCHOL.IS,0,0,2685.588437089827,2026-06-10 16:40:00+03:00,185.9929438934326,499.5004995004274,2026-06-11 15:20:00+03:00,182.66639392089843,490.5667553588603,-9923.811396498499,-0.019867470415789994,Long,Closed,0
SAHOL.IS,0,0,5462.263301189448,2026-06-10 16:35:00+03:00,91.44570152664184,499.5004995004274,2026-06-12 09:55:00+03:00,93.5,510.72161866121337,10210.897042552162,0.020442215879189426,Long,Closed,0
SAHOL.IS,1,0,4989.681490930951,2026-06-19 15:50:00+03:00,102.15104847335814,509.701195846661,2026-06-19 15:55:00+03:00,102.30000686645508,510.44445078366016,-276.8907096757325,-0.0005432412400284193,Long,Closed,1
SAHOL.IS,2,0,5648.030927726432,2026-07-13 13:55:00+03:00,90.19507652664184,509.42458175105276,2026-07-14 10:20:00+03:00,88.7435984802246,501.22658885404496,-9208.644067685587,-0.018076560098515982,Long,Closed,2
