Date,boosting_probability,logistic_probability,random_forest_probability
2026-05-07 09:55:00+03:00,0.1710948980786978,3.6861040864644154e-11,0.0
2026-05-07 10:00:00+03:00,0.1710948980786978,2.3499269009011625e-06,0.0
2026-05-07 10:05:00+03:00,0.1710948980786978,3.0644043576637217e-09,0.0
2026-05-07 10:10:00+03:00,0.1710948980786978,2.3530013363488386e-06,0.0
2026-05-07 10:15:00+03:00,0.1710948980786978,3.6722736086580206e-08,0.0
2026-05-07 10:20:00+03:00,0.1710948980786978,4.058277827224242e-09,0.0
2026-05-07 10:25:00+03:00,0.1710948980786978,7.959439622963268e-09,0.0
2026-05-07 10:30:00+03:00,0.1710948980786978,2.865829195592044e-08,0.0
2026-05-07 10:35:00+03:00,0.1710948980786978,5.590474870091573e-13,0.022876486882004915
2026-05-07 10:40:00+03:00,0.1710948980786978,5.0520897746832344e-11,0.016647282927853887
2026-05-07 10:45:00+03:00,0.1710948980786978,7.969443842298899e-09,0.006249081019236003
2026-05-07 10:50:00+03:00,0.1710948980786978,1.0705607643901571e-08,0.002155875834676492
2026-05-07 10:55:00+03:00,0.1710948980786978,1.2534460980536398e-07,0.002155875834676492
2026-05-07 11:00:00+03:00,0.1710948980786978,1.6500194697086541e-06,0.0
2026-05-07 11:05:00+03:00,0.1710948980786978,3.495609044884359e-09,0.0
2026-05-07 11:10:00+03:00,0.1710948980786978,3.5301518452540844e-08,0.0
2026-05-07 11:15:00+03:00,0.1710948980786978,8.026472359311132e-10,0.0
2026-05-07 11:20:00+03:00,0.17056973897761885,2.065484540160764e-08,0.011114838772658085
2026-05-07 11:25:00+03:00,0.1710948980786978,1.790597166619005e-08,0.0
2026-05-07 11:30:00+03:00,0.1710948980786978,2.908021220244078e-09,0.0
2026-05-07 11:35:00+03:00,0.1710948980786978,5.5007147397142906e-11,0.0
2026-05-07 11:40:00+03:00,0.1710948980786978,1.0288843146811605e-08,0.0
2026-05-07 11:45:00+03:00,0.1710948980786978,1.4559781169811883e-10,0.0
2026-05-07 11:50:00+03:00,0.1710948980786978,5.873628841102467e-10,0.0
2026-05-07 11:55:00+03:00,0.1710948980786978,8.84291977756089e-10,0.0
2026-05-07 12:00:00+03:00,0.1710948980786978,6.493757719242385e-08,0.0
2026-05-07 12:05:00+03:00,0.1710948980786978,1.1379921482550757e-09,0.0
2026-05-07 12:10:00+03:00,0.1710948980786978,6.32012598096322e-11,0.0
2026-05-07 12:15:00+03:00,0.1710948980786978,2.5676564502856614e-10,0.0
2026-05-07 12:20:00+03:00,0.1710948980786978,3.7842300355680786e-11,0.0
2026-05-07 12:25:00+03:00,0.1710948980786978,5.218422176344597e-09,0.0
2026-05-07 12:30:00+03:00,0.1710948980786978,1.1856885310656092e-09,0.0
2026-05-07 12:35:00+03:00,0.1710948980786978,3.7961665169471654e-08,0.0
2026-05-07 12:40:00+03:00,0.1710948980786978,6.754397364588522e-08,0.0
2026-05-07 12:45:00+03:00,0.1710948980786978,6.888805419116226e-08,0.0
2026-05-07 12:50:00+03:00,0.1710948980786978,2.5970915131473797e-09,0.0
2026-05-07 12:55:00+03:00,0.1710948980786978,1.4707906954983703e-08,0.0
2026-05-07 13:00:00+03:00,0.1710948980786978,2.3026416016531796e-07,0.002091622887704591
2026-05-07 13:05:00+03:00,0.1710948980786978,4.387782530233001e-08,0.0
2026-05-07 13:10:00+03:00,0.1710948980786978,7.827275747298144e-09,0.0
2026-05-07 13:15:00+03:00,0.1710948980786978,6.194245307167148e-07,0.002091622887704591
2026-05-07 13:20:00+03:00,0.1710948980786978,3.9685391437192836e-08,0.0
2026-05-07 13:25:00+03:00,0.1710948980786978,6.969310403597392e-09,0.0017092537516743475
2026-05-07 13:30:00+03:00,0.1710948980786978,1.4378998043863825e-08,0.0
2026-05-07 13:35:00+03:00,0.1710948980786978,2.8501164559878233e-07,0.012100943339058014
2026-05-07 13:40:00+03:00,0.1710948980786978,3.975915644601933e-07,0.0
2026-05-07 13:45:00+03:00,0.1710948980786978,5.86961832677652e-08,0.0
2026-05-07 13:50:00+03:00,0.1710948980786978,1.188819282358467e-07,0.0
2026-05-07 13:55:00+03:00,0.1710948980786978,3.6340166503765414e-08,0.0
2026-05-07 14:00:00+03:00,0.1710948980786978,1.9173666048509476e-10,0.0
2026-05-07 14:05:00+03:00,0.1710948980786978,4.932317495497495e-11,0.0
2026-05-07 14:10:00+03:00,0.1710948980786978,2.0426416640443806e-10,0.0
2026-05-07 14:15:00+03:00,0.1710948980786978,1.5707517013935593e-09,0.0
2026-05-07 14:20:00+03:00,0.1710948980786978,1.289005701268241e-11,0.0
2026-05-07 14:25:00+03:00,0.1710948980786978,4.332075870013405e-12,0.0
2026-05-07 14:30:00+03:00,0.1710948980786978,3.7367725097719506e-11,0.0
2026-05-07 14:35:00+03:00,0.1710948980786978,2.7868711652575786e-11,0.0
2026-05-07 14:40:00+03:00,0.1710948980786978,1.3790194360798119e-12,0.0
2026-05-07 14:45:00+03:00,0.1710948980786978,2.7076078813296975e-12,0.0
2026-05-07 14:50:00+03:00,0.1710948980786978,6.824930484550652e-10,0.004129268058298769
2026-05-07 14:55:00+03:00,0.1710948980786978,2.833136837927702e-07,0.0
2026-05-07 15:00:00+03:00,0.1710948980786978,7.207526171133149e-08,0.0
2026-05-07 15:05:00+03:00,0.1710948980786978,1.8411898837640576e-08,0.0
2026-05-07 15:10:00+03:00,0.1710948980786978,3.4470256226025513e-08,0.0
2026-05-07 15:15:00+03:00,0.1710948980786978,9.015886482880886e-08,0.0
2026-05-07 15:20:00+03:00,0.1710948980786978,8.505936480255238e-11,0.0
2026-05-07 15:25:00+03:00,0.1710948980786978,1.838599916592265e-13,0.014525109963385794
2026-05-07 15:30:00+03:00,0.1710948980786978,3.022656314346965e-12,0.0
2026-05-07 15:35:00+03:00,0.1710948980786978,2.8264663812659955e-13,0.0
2026-05-07 15:40:00+03:00,0.1710948980786978,1.9899652478626295e-12,0.0
2026-05-07 15:45:00+03:00,0.1710948980786978,4.2166827510197654e-13,0.0
2026-05-07 15:50:00+03:00,0.1710948980786978,2.5185669661471065e-13,0.0
2026-05-07 15:55:00+03:00,0.1710948980786978,1.2337210300713681e-12,0.0
2026-05-07 16:00:00+03:00,0.1710948980786978,4.817678933005639e-14,0.0
2026-05-07 16:05:00+03:00,0.1710948980786978,3.078468364439448e-12,0.0
2026-05-07 16:10:00+03:00,0.1710948980786978,3.3655304435442434e-11,0.0
2026-05-07 16:15:00+03:00,0.1710948980786978,3.690964693908605e-11,0.0
2026-05-07 16:20:00+03:00,0.1710948980786978,8.204664166632622e-13,0.0
2026-05-07 16:25:00+03:00,0.1710948980786978,8.262039444502708e-12,0.0
2026-05-07 16:30:00+03:00,0.1710948980786978,1.9946529026541695e-11,0.0
2026-05-07 16:35:00+03:00,0.1710948980786978,3.5191756634433493e-09,0.0
2026-05-07 16:40:00+03:00,0.1710948980786978,6.591947223127095e-10,0.0
2026-05-07 16:45:00+03:00,0.1710948980786978,2.485122392051144e-09,0.0
2026-05-07 16:50:00+03:00,0.1710948980786978,1.0509076599620873e-07,0.002091622887704591
2026-05-07 16:55:00+03:00,0.1710948980786978,4.4994274867125e-09,0.0
2026-05-07 17:00:00+03:00,0.1710948980786978,5.3120905898165477e-08,0.002091622887704591
2026-05-07 17:05:00+03:00,0.1710948980786978,6.381375643908146e-10,0.0
2026-05-07 17:10:00+03:00,0.1710948980786978,1.4403702005538908e-11,0.0
2026-05-07 17:15:00+03:00,0.1710948980786978,7.253512318230262e-11,0.0
2026-05-07 17:20:00+03:00,0.1710948980786978,6.028326322632892e-14,0.004129268058298769
2026-05-07 17:25:00+03:00,0.1710948980786978,3.472002743763789e-12,0.0
2026-05-07 17:30:00+03:00,0.1710948980786978,4.2022695434495824e-10,0.0
2026-05-07 17:35:00+03:00,0.1710948980786978,1.7762880446179809e-09,0.0
2026-05-07 17:40:00+03:00,0.1710948980786978,3.163147551167097e-07,0.0
2026-05-07 17:45:00+03:00,0.1710948980786978,1.754976601712374e-07,0.004169483862955396
2026-05-07 17:50:00+03:00,0.1710948980786978,5.46364865912157e-07,0.0
2026-05-07 17:55:00+03:00,0.1710948980786978,9.204275252376003e-08,0.0
2026-05-08 09:55:00+03:00,0.26929428108804965,0.009836529910691682,0.3722282196252004
2026-05-08 10:00:00+03:00,0.5221236546957548,0.27503636039206864,0.8390744487970102
2026-05-08 10:05:00+03:00,0.26929428108804965,0.003411656140700186,0.29122589712472746
2026-05-08 10:10:00+03:00,0.26929428108804965,0.00013219894406987773,0.4757158910338072
2026-05-08 10:15:00+03:00,0.7959064764981774,0.9107467677271771,0.9413988420801402
2026-05-08 10:20:00+03:00,0.8215180025484221,0.9876155561356638,0.9760640262863284
2026-05-08 10:25:00+03:00,0.8215180025484221,0.9970400327784461,0.9811266289373267
2026-05-08 10:30:00+03:00,0.8223136498747551,0.9969010729694181,0.9844484217587015
2026-05-08 10:35:00+03:00,0.8223136498747551,0.9967979429357621,0.9867823241160829
2026-05-08 10:40:00+03:00,0.8223136498747551,0.9973377521347323,0.984371044539483
2026-05-08 10:45:00+03:00,0.1710948980786978,0.00046911861552275134,0.1963316448438027
2026-05-08 10:50:00+03:00,0.1710948980786978,2.758853010441976e-06,0.08244780716816592
2026-05-08 10:55:00+03:00,0.1710948980786978,9.871400742777838e-10,0.14777270354171698
2026-05-08 11:00:00+03:00,0.1710948980786978,1.3148116799650847e-09,0.14564757251113536
2026-05-08 11:05:00+03:00,0.1710948980786978,5.358073925188993e-09,0.05194229261279438
2026-05-08 11:10:00+03:00,0.1710948980786978,3.804091602350303e-09,0.02954795640983334
2026-05-08 11:15:00+03:00,0.1710948980786978,9.792529503509078e-10,0.027382104084602663
2026-05-08 11:20:00+03:00,0.1710948980786978,1.0977899321075062e-10,0.012405583112252226
2026-05-08 11:25:00+03:00,0.1710948980786978,3.412346683969415e-11,0.012405583112252226
2026-05-08 11:30:00+03:00,0.1710948980786978,1.6538604811488234e-09,0.012386130356056518
2026-05-08 11:35:00+03:00,0.1710948980786978,7.10742735814113e-09,0.006458750884503439
2026-05-08 11:40:00+03:00,0.1710948980786978,7.94638924759634e-13,0.0020887393407529186
2026-05-08 11:45:00+03:00,0.1710948980786978,2.513114383055287e-13,0.002479366788119687
2026-05-08 11:50:00+03:00,0.1710948980786978,5.806689138474253e-15,0.002479366788119687
2026-05-08 11:55:00+03:00,0.1710948980786978,8.083760015527341e-14,0.0
2026-05-08 12:00:00+03:00,0.1710948980786978,2.2399374711244045e-14,0.0
2026-05-08 12:05:00+03:00,0.1710948980786978,2.3553818746501483e-17,0.0
2026-05-08 12:10:00+03:00,0.1710948980786978,6.944906174967113e-16,0.0
2026-05-08 12:15:00+03:00,0.1710948980786978,1.1369879844170286e-14,0.0020887393407529186
2026-05-08 12:20:00+03:00,0.1710948980786978,2.6294478844904506e-12,0.0020887393407529186
2026-05-08 12:25:00+03:00,0.1710948980786978,3.7670319224628556e-12,0.0
2026-05-08 12:30:00+03:00,0.1710948980786978,5.244750404857001e-15,0.0020887393407529186
2026-05-08 12:35:00+03:00,0.1710948980786978,2.401081485953946e-13,0.0020887393407529186
2026-05-08 12:40:00+03:00,0.1710948980786978,1.2470355972391367e-11,0.0020887393407529186
2026-05-08 12:45:00+03:00,0.1710948980786978,1.1859735658009055e-12,0.0
2026-05-08 12:50:00+03:00,0.1710948980786978,1.3071062490213385e-11,0.012891426498420448
2026-05-08 12:55:00+03:00,0.1710948980786978,2.4254917844254104e-10,0.0
2026-05-08 13:00:00+03:00,0.1710948980786978,9.05128308673062e-10,0.0
2026-05-08 13:05:00+03:00,0.1710948980786978,2.0631053448597004e-07,0.0024798951460277487
2026-05-08 13:10:00+03:00,0.1710948980786978,4.3259345567523036e-10,0.0024798951460277487
2026-05-08 13:15:00+03:00,0.1710948980786978,1.0292545162191518e-09,0.0
2026-05-08 13:20:00+03:00,0.1710948980786978,6.961603957926345e-13,0.0
2026-05-08 13:25:00+03:00,0.1710948980786978,1.7421623917226835e-15,0.0
2026-05-08 13:30:00+03:00,0.1710948980786978,3.298690440670931e-16,0.018598246801886136
2026-05-08 13:35:00+03:00,0.1710948980786978,1.273952059969894e-14,0.0
2026-05-08 13:40:00+03:00,0.1710948980786978,3.2785117568754945e-15,0.0
2026-05-08 13:45:00+03:00,0.1710948980786978,9.491582594836088e-16,0.0
2026-05-08 13:50:00+03:00,0.1710948980786978,4.324585584947251e-16,0.0
2026-05-08 13:55:00+03:00,0.1710948980786978,8.051185802342035e-17,0.0
2026-05-08 14:00:00+03:00,0.1710948980786978,3.037632790133835e-15,0.0
2026-05-08 14:05:00+03:00,0.1710948980786978,8.052587272092769e-16,0.0
2026-05-08 14:10:00+03:00,0.1710948980786978,4.8132261980431165e-14,0.0020000120721431276
2026-05-08 14:15:00+03:00,0.1710948980786978,2.354415697399154e-12,0.0
2026-05-08 14:20:00+03:00,0.1710948980786978,1.0491139115789408e-11,0.0
2026-05-08 14:25:00+03:00,0.1710948980786978,2.4276873037875088e-11,0.0
2026-05-08 14:30:00+03:00,0.1710948980786978,8.714849641332935e-11,0.0
2026-05-08 14:35:00+03:00,0.1710948980786978,1.2582324441724763e-08,0.0
