Date,hmm_state,hmm_state_prob_0,hmm_state_prob_1,hmm_state_prob_2,hmm_state_prob_3
2026-05-07 09:55:00+03:00,2.0,0.0,3.562582916953126e-139,1.0,4.560095960118484e-249
2026-05-07 10:00:00+03:00,2.0,2.784248267432278e-10,2.4173139211424053e-05,0.9999755354993255,2.9108334358164364e-07
2026-05-07 10:05:00+03:00,2.0,5.500347791448274e-07,1.709142504339161e-06,0.9999933854378953,4.355385182789296e-06
2026-05-07 10:10:00+03:00,2.0,8.854372826899913e-19,0.0007025419006022099,0.9992974455573337,1.254325664424373e-08
2026-05-07 10:15:00+03:00,2.0,1.116953959795216e-14,3.904362117450679e-05,0.9999606678670749,2.885131370101978e-07
2026-05-07 10:20:00+03:00,2.0,7.718063374990606e-13,9.300227422134375e-06,0.9999902985798527,4.011936099568203e-07
2026-05-07 10:25:00+03:00,2.0,4.798666456939225e-10,2.3075430101456747e-06,0.9999962749385563,1.417040168563212e-06
2026-05-07 10:30:00+03:00,2.0,1.4367076633316498e-09,2.637087231910269e-06,0.9999958925339116,1.468942818961827e-06
2026-05-07 10:35:00+03:00,2.0,2.260387782183471e-14,6.21199791179971e-05,0.9999378417525357,3.82691818241075e-08
2026-05-07 10:40:00+03:00,2.0,2.9833899020022486e-11,5.7599019307752974e-06,0.9999937277040121,5.123629249400994e-07
2026-05-07 10:45:00+03:00,2.0,9.961675810344485e-24,1.0139027329056147e-05,0.9999898516804195,9.293122789808551e-09
2026-05-07 10:50:00+03:00,2.0,2.4403689127215305e-17,2.0402069593442794e-06,0.9999978818254627,7.796824897065081e-08
2026-05-07 10:55:00+03:00,2.0,9.890341711261818e-17,1.7204957190568909e-06,0.9999981724048087,1.0710029894373668e-07
2026-05-07 11:00:00+03:00,2.0,1.329683785781995e-13,2.0327751414123337e-06,0.999997742767665,2.2445656088425528e-07
2026-05-07 11:05:00+03:00,2.0,9.01396079527245e-14,1.2308927650583939e-06,0.9999984954495126,2.7365882342784507e-07
2026-05-07 11:10:00+03:00,2.0,6.113642130642895e-12,7.499762117251862e-07,0.9999986431621547,6.068567967537352e-07
2026-05-07 11:15:00+03:00,2.0,2.828009350819134e-15,3.2629213342889223e-06,0.9999966644010025,7.267675900335096e-08
2026-05-07 11:20:00+03:00,2.0,1.926961481786256e-10,5.252704029753673e-07,0.9999981054297434,1.3691068403889037e-06
2026-05-07 11:25:00+03:00,2.0,4.280494096910079e-07,6.687462164912114e-07,0.9999940403645504,4.862839430988203e-06
2026-05-07 11:30:00+03:00,2.0,2.6621148077970096e-06,7.20392142458097e-07,0.99998934133551,7.276156085042338e-06
2026-05-07 11:35:00+03:00,2.0,6.520934409649976e-07,8.261372311388456e-07,0.9999918668003065,6.654968791777139e-06
2026-05-07 11:40:00+03:00,2.0,1.907402666596189e-06,8.288258139335683e-07,0.9999849020580922,1.2361713489552476e-05
2026-05-07 11:45:00+03:00,2.0,6.408705397794991e-06,8.30014150526578e-07,0.9999705521993226,2.220907934096378e-05
2026-05-07 11:50:00+03:00,2.0,0.003383868683992294,1.1655056613333308e-06,0.9964457475416757,0.00016921826974879736
2026-05-07 11:55:00+03:00,2.0,0.022052835268582177,6.28848387779817e-07,0.9775224278640897,0.00042410801859758953
2026-05-07 12:00:00+03:00,2.0,0.18678082188789955,1.411169760015607e-07,0.811788058905528,0.0014309780904159075
2026-05-07 12:05:00+03:00,0.0,0.9314685438118362,1.5262834288119196e-07,0.0675598942795348,0.000971409278587146
2026-05-07 12:10:00+03:00,0.0,0.995748130101131,9.56337829541086e-10,0.004164561620815058,8.730732008325135e-05
2026-05-07 12:15:00+03:00,0.0,0.9997462158733245,9.873066589787078e-10,0.0002471342278611461,6.648911754245914e-06
2026-05-07 12:20:00+03:00,0.0,0.9996391363855134,8.030945372795835e-11,0.0003557068145069775,5.156718211388089e-06
