model,test_mae,test_rmse,test_r2,test_correlation,test_directional_accuracy,test_actual_positive_rate,test_predicted_positive_rate,test_positive_precision,test_positive_recall,cv_mae,cv_rmse,cv_correlation
boosting,1.1763146919233025,1.580268944410711,-0.48270671856210123,-0.04439840276876975,0.4883177570093458,0.2850467289719626,0.22274143302180685,0.24125874125874125,0.1885245901639344,1.1689924000877008,1.7225843789654882,-0.023240843706487754
ridge,1.1427253132518396,1.4844931937430468,-0.30842750840602284,0.014457577380024001,0.4945482866043614,0.2850467289719626,0.15031152647975077,0.18134715025906736,0.09562841530054644,1.0783167242996572,1.574990059898758,0.09308964146035445
random_forest,1.0257981788494315,1.4240067506755287,-0.20397464477408556,0.027363778040611797,0.5475077881619937,0.2850467289719626,0.12071651090342679,0.24516129032258063,0.10382513661202186,1.1026850352759783,1.6337428367580542,-0.008189053714669959
