feature,importance_mean,importance_std,rank
atr,0.0045332787366476664,0.0009200548140437466,1
obv_slope_20,0.002181378502235487,0.004157875805949449,2
macd_hist,0.0021409234481507165,0.001108571910769467,3
rebound_from_low_20,0.002123472823303202,0.0018231730270843697,4
log_return_sum_80,0.0021145175724177068,0.0019328546820862212,5
atr_pct,0.0019702196462405173,0.0009561514577877468,6
hmm_state_prob_2,0.001916027280597632,0.0011912915317460993,7
stoch_k_14,0.000510973038615059,0.0010001041717605274,8
range_pct_20,0.0004889686994490883,0.0010598400158549639,9
realized_vol_2,0.00038893891540502936,0.00025497058293865815,10
realized_vol_3,0.00027554761799618576,0.00015620989765615043,11
log_return_sum_5,0.0002708606868120522,0.00022824129238206857,12
atr_pct_change_5,0.00025103057491395744,0.00027152592867800933,13
volatility_compression_20_80,0.00024721351192245054,0.0004742769597266044,14
log_return_1,0.00018258970966077425,0.00011632363701777182,15
log_return_sum_2,0.00017459561161688452,0.0001451425393178156,16
log_return_sum_3,0.0001640364961125351,0.00032186032234202816,17
close_position_in_range,0.00015434480630111547,0.00016331132269092663,18
slope_pct_80,0.00014606172297741417,0.0023156324210792468,19
body_to_range,1.1993178454133835e-05,3.6465947863772386e-05,20
green_streak,0.0,0.0,21
gap_pct,0.0,0.0,22
lower_wick_to_range,-4.498146855117513e-05,0.00011568181405322434,23
body_pct,-4.748836749101093e-05,0.0002370002576033924,24
volatility_expansion_5_20,-6.357629011699562e-05,0.0001167261769739389,25
upper_wick_to_range,-7.876756076187763e-05,6.527651813774457e-05,26
volume_expansion_5_20,-8.464527961600799e-05,0.0001838889733725563,27
realized_vol_10,-0.00010274993943785726,0.00028276681239941857,28
log_volume,-0.00016827940782087046,0.0002396631720910651,29
realized_vol_5,-0.0002151579664075587,0.00016354334640587796,30
hmm_state_prob_1,-0.00021544799909948843,0.0014883236270588145,31
stoch_d_3,-0.00033168755891302415,0.00039510141824639853,32
realized_vol_80,-0.00034129939982033286,0.006717792786595287,33
volume_z_20,-0.00034913663793579295,0.00031386993804521777,34
volume_ratio_20,-0.0005125828128649757,0.0004311473018925624,35
rsi_7,-0.000562133745408,0.002625819857932731,36
log_return_sum_10,-0.0006558263176645818,0.00047128127566924415,37
dist_to_high_atr_80,-0.0007906049710845797,0.0017513083005370597,38
bollinger_z_20,-0.0010465254081803489,0.002902697146203243,39
down_volume_share_20,-0.0010466765152474188,0.005096027640621273,40
range_compression_20_80,-0.0013125164722450123,0.0006191290654291528,41
slope_pct_20,-0.0016596165949501417,0.002749692915834074,42
log_return_sum_20,-0.00233495311326225,0.003678119604585397,43
dist_to_high_atr_20,-0.0023544466993027867,0.0008331379447751079,44
dist_to_low_atr_20,-0.003041645426522105,0.006830263553697746,45
drawdown_from_high_20,-0.003291238873930358,0.0005256056357833206,46
hmm_state_prob_0,-0.0033843768291298092,0.004717621486537799,47
realized_vol_20,-0.0034486125418509983,0.005029387618387043,48
up_volume_share_20,-0.004372830623167673,0.004928881540203421,49
slope_pct_50,-0.0050083534404092135,0.007095984033865314,50
rebound_from_low_80,-0.005354196991351795,0.01000256913182709,51
dist_to_high_atr_50,-0.005583284459600574,0.011331703830145784,52
hmm_state,-0.006622601807469641,0.0049230589105394495,53
macd_signal,-0.008695450878395128,0.008248087121084024,54
rebound_from_low_50,-0.008801053870334686,0.010990539420213458,55
hmm_state_prob_3,-0.01112983410577586,0.00723370117175181,56
realized_vol_40,-0.01177005733485506,0.009102121878747982,57
dist_to_low_atr_80,-0.013427564758556654,0.01712448321538065,58
prior_down_context,-0.013549302366989636,0.017815305591274633,59
range_pct_80,-0.015572393299202287,0.015582666818668035,60
bollinger_z_50,-0.016805173033828093,0.01333984372932236,61
range_pct_50,-0.01754490485145166,0.019284205918440878,62
log_return_sum_40,-0.01767463848811504,0.017002940378964285,63
bollinger_z_80,-0.017762482639849714,0.012240240594045678,64
rsi_14,-0.018321966858081774,0.01138822253037068,65
dist_to_low_atr_50,-0.019391577885127964,0.014077000608364762,66
macd_line,-0.025205180354756197,0.0172929269677761,67
drawdown_from_high_50,-0.029432804591178818,0.01889862385685787,68
drawdown_from_high_80,-0.0346003520324969,0.01801348867890706,69
