feature,importance_mean,importance_std,rank
prior_down_context,0.23873952328103942,0.0058832100640190425,1
drawdown_from_high_20,0.04000014310042288,0.009657109830070185,2
dist_to_high_atr_80,0.016618120890299126,0.011660051487244139,3
close_position_in_range,0.014562745214137723,0.015197061788526858,4
log_return_sum_2,0.01213177077161327,0.0032395825441488895,5
hmm_state_prob_0,0.009608499023494293,0.007170571590489656,6
log_return_sum_40,0.009241436833661734,0.025413666998762404,7
stoch_d_3,0.009098724217502723,0.013109761334548645,8
up_volume_share_20,0.008076784175114454,0.013379102660254978,9
down_volume_share_20,0.008076784175114454,0.013379102660254978,10
log_volume,0.007506078677822298,0.004087527551704071,11
hmm_state_prob_2,0.007146886088966575,0.018207523007332176,12
bollinger_z_20,0.007043723504998528,0.012072308984417045,13
realized_vol_2,0.0065094996340470555,0.0038873791271405948,14
stoch_k_14,0.005447940687766129,0.00550125934808061,15
slope_pct_80,0.004114239874649028,0.006248824295667783,16
slope_pct_50,0.004114121375412838,0.020367091052305754,17
volume_expansion_5_20,0.003229612063969206,0.0034218456258098685,18
body_to_range,0.002409724120801637,0.005334398274855587,19
atr_pct,0.0021350019593938674,0.007722420515485994,20
atr_pct_change_5,0.001365739566163715,0.012646401272697748,21
hmm_state,0.0005514269340462063,0.0009418898171039571,22
green_streak,0.0005042365538808103,0.0033371724132020353,23
realized_vol_3,0.00021301750039574575,0.00010906654625522544,24
realized_vol_80,-0.00012584147964429527,0.006726628784433377,25
dist_to_low_atr_50,-0.00026871294118755996,0.006647349834204743,26
upper_wick_to_range,-0.00036298891233049193,0.0034534984193563515,27
realized_vol_10,-0.0003866268852884214,0.0035536607785922446,28
atr,-0.00046070321477520437,0.0050567764415393604,29
range_pct_50,-0.0008006537846811046,0.004694838556379529,30
dist_to_low_atr_80,-0.0011337886648442653,0.0034866721026313046,31
log_return_sum_3,-0.0011488416066411822,0.004800002286549276,32
macd_signal,-0.0012123368713000903,0.0053917878548034185,33
hmm_state_prob_1,-0.0012288267179769996,0.00432720233062624,34
rebound_from_low_80,-0.0012903975599794892,0.0035769921042415227,35
macd_line,-0.0014543695501142485,0.004322982070803796,36
volatility_expansion_5_20,-0.0017443496808899617,0.004535286879513194,37
rsi_14,-0.002150329452328298,0.009344274442400297,38
lower_wick_to_range,-0.0021597531992167073,0.0058814221219281836,39
dist_to_low_atr_20,-0.002379927916468588,0.004784982976002373,40
hmm_state_prob_3,-0.002787453763046893,0.006046778008096363,41
bollinger_z_80,-0.0027907172408563052,0.006909355243886493,42
volatility_compression_20_80,-0.0028238031398633346,0.0056918123496377685,43
log_return_sum_20,-0.0028522801570920963,0.011880290840625262,44
rsi_7,-0.0031394489575838846,0.006699643643820592,45
drawdown_from_high_50,-0.003313186673228835,0.008418557294787785,46
rebound_from_low_50,-0.003917422771899793,0.005675857387804989,47
dist_to_high_atr_50,-0.006725967971594438,0.009629689261855857,48
rebound_from_low_20,-0.006954445108524165,0.007966396073875124,49
log_return_sum_80,-0.007057606033701813,0.00528287892437623,50
dist_to_high_atr_20,-0.007225014038055405,0.006416351728648077,51
obv_slope_20,-0.007358321283794012,0.0044754965125839395,52
bollinger_z_50,-0.007432072992145489,0.013005485853893365,53
log_return_sum_5,-0.007580485720482938,0.005006123777827214,54
log_return_sum_10,-0.008093425636325563,0.005886936483467515,55
realized_vol_40,-0.008521782647980924,0.005216180940820579,56
realized_vol_5,-0.008745062820764454,0.003653479930514601,57
slope_pct_20,-0.010312928843105095,0.010110929275865523,58
range_pct_20,-0.010597377693041166,0.01229890859085741,59
log_return_1,-0.01095421113532174,0.006760836653944999,60
volume_ratio_20,-0.011085514147809117,0.0023786391400124765,61
gap_pct,-0.013296852434143313,0.005269374170393013,62
realized_vol_20,-0.014215169195266959,0.010367404912509714,63
range_compression_20_80,-0.017779305758104186,0.009854338023592358,64
body_pct,-0.01914404502954039,0.009862410422692754,65
volume_z_20,-0.01943065421194249,0.007284761377805148,66
macd_hist,-0.021555080693560318,0.013553857924037353,67
range_pct_80,-0.02255155615323911,0.0181817025298547,68
drawdown_from_high_80,-0.059369196465442295,0.028805440942245207,69
